"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"№","Идентификационный код ценной бумаги","Полное фирменное наименование эмитента ценных бумаг","Вид, категория (тип) ценной бумаги","Международный код (номер) идентификации ценных бумаг (ISIN)","Дата возобновления торгов с 10:00 мск"
"1","A","Agilent Technologies, Inc.","Акции иностранного эмитента обыкновенные","US00846U1016","17.08.2022"
"2","AA","Alcoa Corporation","Акции иностранного эмитента обыкновенные","US0138721065","10.08.2022"
"3","AAPL","Apple Inc.","Акции иностранного эмитента обыкновенные","US0378331005","10.08.2022"
"4","ABBV","AbbVie Inc.","Акции иностранного эмитента обыкновенные","US00287Y1091","10.08.2022"
"5","ABNB","Airbnb, Inc.","Акции иностранного эмитента обыкновенные класса A","US0090661010","10.08.2022"
"6","ABT","Abbott Laboratories","Акции иностранного эмитента обыкновенные","US0028241000","10.08.2022"
"7","ACAD","ACADIA Pharmaceuticals Inc.","Акции иностранного эмитента обыкновенные","US0042251084","10.08.2022"
"8","ADBE","Adobe Inc.","Акции иностранного эмитента обыкновенные","US00724F1012","10.08.2022"
"9","ADI","Analog Devices, Inc.","Акции иностранного эмитента обыкновенные","US0326541051","24.08.2022"
"10","ADM","Archer-Daniels-Midland Company","Акции иностранного эмитента обыкновенные","US0394831020","17.08.2022"
