"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"№","Идентификационный код ценной бумаги","Полное фирменное наименование эмитента ценных бумаг","Вид, категория (тип) ценной бумаги","Международный код (номер) идентификации ценных бумаг (ISIN)","Дата возобновления торгов с 10:00 мск"
"237","PBF","PBF Energy Inc.","Акции иностранного эмитента обыкновенные класса A","US69318G1067","10.08.2022"
"238","PCG","PG&E Corporation","Акции иностранного эмитента обыкновенные","US69331C1080","17.08.2022"
"239","PD","PagerDuty, Inc.","Акции иностранного эмитента обыкновенные","US69553P1003","17.08.2022"
"240","PEP","PepsiCo, Inc.","Акции иностранного эмитента обыкновенные","US7134481081","10.08.2022"
"241","PFE","Pfizer Inc.","Акции иностранного эмитента обыкновенные","US7170811035","10.08.2022"
"242","PFG","Principal Financial Group, Inc.","Акции иностранного эмитента обыкновенные","US74251V1026","17.08.2022"
"243","PG","The Procter & Gamble Company","Акции иностранного эмитента обыкновенные","US7427181091","10.08.2022"
"244","PHM","PulteGroup, Inc.","Акции иностранного эмитента обыкновенные","US7458671010","10.08.2022"
"245","PLAY","Dave & Buster's Entertainment, Inc.","Акции иностранного эмитента обыкновенные","US2383371091","10.08.2022"
"246","PLD","Prologis, Inc.","Акции иностранного эмитента обыкновенные","US74340W1036","17.08.2022"
"247","PLTR","Palantir Technologies Inc.","Акции иностранного эмитента обыкновенные класса A","US69608A1088","10.08.2022"
"248","PM","Philip Morris International Inc.","Акции иностранного эмитента обыкновенные","US7181721090","10.08.2022"
"249","PPL","PPL Corporation","Акции иностранного эмитента обыкновенные","US69351T1060","17.08.2022"
"250","PSTG","Pure Storage, Inc.","Акции иностранного эмитента обыкновенные класса A","US74624M1027","10.08.2022"
"251","PSX","Phillips 66","Акции иностранного эмитента обыкновенные","US7185461040","17.08.2022"
"252","PTON","Peloton Interactive, Inc.","Акции иностранного эмитента обыкновенные класса A","US70614W1009","10.08.2022"
"253","PVH","PVH Corp.","Акции иностранного эмитента обыкновенные","US6936561009","17.08.2022"
"254","PXD","Pioneer Natural Resources Company","Акции иностранного эмитента обыкновенные","US7237871071","17.08.2022"
"255","QCOM","QUALCOMM Incorporated","Акции иностранного эмитента обыкновенные","US7475251036","10.08.2022"
"256","RCL","Royal Caribbean Cruises Ltd.","Акции иностранного эмитента обыкновенные","LR0008862868","10.08.2022"
"257","RDFN","Redfin Corporation","Акции иностранного эмитента обыкновенные","US75737F1084","17.08.2022"
"258","RHI","Robert Half International Inc.","Акции иностранного эмитента обыкновенные","US7703231032","17.08.2022"
"259","RL","Ralph Lauren Corporation","Акции иностранного эмитента обыкновенные класса A","US7512121010","17.08.2022"
"260","ROK","Rockwell Automation, Inc.","Акции иностранного эмитента обыкновенные","US7739031091","17.08.2022"
"261","ROKU","Roku, Inc.","Акции иностранного эмитента обыкновенные класса A","US77543R1023","10.08.2022"
"262","ROST","Ross Stores, Inc.","Акции иностранного эмитента обыкновенные","US7782961038","17.08.2022"
"263","RRC","Range Resources Corporation","Акции иностранного эмитента обыкновенные","US75281A1097","10.08.2022"
"264","RTX","Raytheon Technologies Corporation","Акции иностранного эмитента обыкновенные","US75513E1010","17.08.2022"
"265","RUN","Sunrun Inc.","Акции иностранного эмитента обыкновенные","US86771W1053","10.08.2022"
"266","SBUX","Starbucks Corporation","Акции иностранного эмитента обыкновенные","US8552441094","10.08.2022"
"267","SCCO","Southern Copper Corporation","Акции иностранного эмитента обыкновенные","US84265V1052","17.08.2022"
"268","SCHW","The Charles Schwab Corporation","Акции иностранного эмитента обыкновенные","US8085131055","10.08.2022"
"269","SHEL","JPMorgan Chase Bank, N.A.","Депозитарные расписки JPMorgan Chase Bank, N.A., удостоверяющие права в отношении обыкновенных акций Shell plc","US7802593050","10.08.2022"
"270","SHOP","Shopify Inc.","Акции иностранного эмитента обыкновенные класса A","CA82509L1076","10.08.2022"
"271","SIG","Signet Jewelers Limited","Акции иностранного эмитента обыкновенные","BMG812761002","10.08.2022"
"272","SJM","The J.M. Smucker Company","Акции иностранного эмитента обыкновенные","US8326964058","17.08.2022"
"273","SLB","Schlumberger Limited","Акции иностранного эмитента обыкновенные","AN8068571086","10.08.2022"
"274","SMAR","Smartsheet Inc.","Акции иностранного эмитента обыкновенные класса A","US83200N1037","17.08.2022"
"275","SNAP","Snap Inc.","Акции иностранного эмитента обыкновенные класса A","US83304A1060","10.08.2022"
"276","SNOW","Snowflake Inc.","Акции иностранного эмитента обыкновенные класса A","US8334451098","10.08.2022"
"277","SO","The Southern Company","Акции иностранного эмитента обыкновенные","US8425871071","17.08.2022"
"278","SPG","Simon Property Group, Inc.","Акции иностранного эмитента обыкновенные","US8288061091","17.08.2022"
"279","SPLK","Splunk Inc.","Акции иностранного эмитента обыкновенные","US8486371045","17.08.2022"
"280","SPOT","Spotify Technology S.A.","Акции иностранного эмитента обыкновенные","LU1778762911","10.08.2022"
"281","SPR","Spirit AeroSystems Holdings, Inc.","Акции иностранного эмитента обыкновенные класса A","US8485741099","10.08.2022"
"282","SQ","Block, Inc.","Акции иностранного эмитента обыкновенные класса A","US8522341036","10.08.2022"
"283","STAG","STAG Industrial, Inc.","Акции иностранного эмитента обыкновенные","US85254J1025","17.08.2022"
"284","STLD","Steel Dynamics, Inc.","Акции иностранного эмитента обыкновенные","US8581191009","17.08.2022"
"285","STOR","STORE Capital Corporation","Акции иностранного эмитента обыкновенные","US8621211007","17.08.2022"
"286","SWK","Stanley Black & Decker, Inc.","Акции иностранного эмитента обыкновенные","US8545021011","10.08.2022"
"287","SWKS","Skyworks Solutions, Inc.","Акции иностранного эмитента обыкновенные","US83088M1027","17.08.2022"
"288","SYY","Sysco Corporation","Акции иностранного эмитента обыкновенные","US8718291078","17.08.2022"
"289","T","AT&T INC.","Акции иностранного эмитента обыкновенные","US00206R1023","10.08.2022"
"290","TAP","Molson Coors Beverage Company","Акции иностранного эмитента обыкновенные класса B","US60871R2094","17.08.2022"
"291","TDOC","Teladoc Health, Inc.","Акции иностранного эмитента обыкновенные","US87918A1051","10.08.2022"
"292","TFC","Truist Financial Corporation","Акции иностранного эмитента обыкновенные","US89832Q1094","17.08.2022"
"293","TGT","Target Corporation","Акции иностранного эмитента обыкновенные","US87612E1064","10.08.2022"
"294","TJX","The TJX Companies, Inc.","Акции иностранного эмитента обыкновенные","US8725401090","17.08.2022"
"295","TMUS","T-Mobile US, Inc.","Акции иностранного эмитента обыкновенные","US8725901040","17.08.2022"
"296","TPR","Tapestry, Inc.","Акции иностранного эмитента обыкновенные","US8760301072","17.08.2022"
"297","TRIP","TripAdvisor, Inc.","Акции иностранного эмитента обыкновенные","US8969452015","10.08.2022"
"298","TROW","T. Rowe Price Group, Inc.","Акции иностранного эмитента обыкновенные","US74144T1088","17.08.2022"
"299","TSLA","Tesla, Inc.","Акции иностранного эмитента обыкновенные","US88160R1014","10.08.2022"
"300","TSM","Citibank, N.A.","Депозитарные расписки Citibank, N.A., удостоверяющие права в отношении обыкновенных акций Taiwan Semiconductor Manufacturing Company Ltd.","US8740391003","10.08.2022"
"301","TSN","Tyson Foods, Inc.","Акции иностранного эмитента обыкновенные класса A","US9024941034","10.08.2022"
"302","TTD","The Trade Desk, Inc.","Акции иностранного эмитента обыкновенные класса A","US88339J1051","10.08.2022"
"303","TTE","JPMorgan Chase Bank, N.A.","Депозитарные расписки JPMorgan Chase Bank, N.A., удостоверяющие права в отношении обыкновенных акций TotalEnergies SE","US89151E1091","10.08.2022"
"304","TTWO","Take-Two Interactive Software, Inc.","Акции иностранного эмитента обыкновенные","US8740541094","17.08.2022"
"305","TWLO","Twilio Inc.","Акции иностранного эмитента обыкновенные класса A","US90138F1021","10.08.2022"
"306","TWOU","2U, Inc.","Акции иностранного эмитента обыкновенные","US90214J1016","10.08.2022"
"307","TWTR","Twitter, Inc.","Акции иностранного эмитента обыкновенные","US90184L1026","10.08.2022"
"308","TXG","10x Genomics, Inc.","Акции иностранного эмитента обыкновенные класса A","US88025U1097","10.08.2022"
"309","TXN","Texas Instruments Incorporated","Акции иностранного эмитента обыкновенные","US8825081040","17.08.2022"
"310","UAA","Under Armour, Inc.","Акции иностранного эмитента обыкновенные класса A","US9043111072","10.08.2022"
"311","UAL","United Airlines Holdings, Inc.","Акции иностранного эмитента обыкновенные","US9100471096","10.08.2022"
"312","UBER","Uber Technologies, Inc.","Акции иностранного эмитента обыкновенные","US90353T1007","10.08.2022"
"313","UNH","UnitedHealth Group Incorporated","Акции иностранного эмитента обыкновенные","US91324P1021","10.08.2022"
"314","UNM","Unum Group","Акции иностранного эмитента обыкновенные","US91529Y1064","17.08.2022"
"315","UPS","United Parcel Service, Inc.","Акции иностранного эмитента обыкновенные класса B","US9113121068","17.08.2022"
"316","USB","U.S. Bancorp","Акции иностранного эмитента обыкновенные","US9029733048","17.08.2022"
"317","V","Visa Inc.","Акции иностранного эмитента обыкновенные класса A","US92826C8394","10.08.2022"
"318","VALE","Citibank, N.A.","Депозитарные расписки Citibank, N.A., удостоверяющие права в отношении обыкновенных акций Vale S.A.","US91912E1055","10.08.2022"
"319","VFC","V.F. Corporation","Акции иностранного эмитента обыкновенные","US9182041080","17.08.2022"
"320","VIPS","Deutsche Bank Trust Company Americas","Депозитарные расписки Deutsche Bank Trust Company Americas, удостоверяющие права в отношении обыкновенных акций класса A Vipshop Holdings Limited","US92763W1036","10.08.2022"
"321","VLO","Valero Energy Corporation","Акции иностранного эмитента обыкновенные","US91913Y1001","10.08.2022"
"322","VNO","Vornado Realty Trust","Акции иностранного эмитента обыкновенные","US9290421091","17.08.2022"
"323","VRTX","Vertex Pharmaceuticals Incorporated","Акции иностранного эмитента обыкновенные","US92532F1003","10.08.2022"
"324","VSCO","Victoria’s Secret & Co.","Акции иностранного эмитента обыкновенные","US9264001028","17.08.2022"
"325","VTR","Ventas, Inc.","Акции иностранного эмитента обыкновенные","US92276F1003","17.08.2022"
"326","VZ","Verizon Communications Inc.","Акции иностранного эмитента обыкновенные","US92343V1044","10.08.2022"
"327","WB","JPMorgan Chase Bank, N.A.","Депозитарные расписки JPMorgan Chase Bank, N.A., удостоверяющие права в отношении обыкновенных акций класса A Weibo Corporation","US9485961018","10.08.2022"
"328","WBA","Walgreens Boots Alliance, Inc.","Акции иностранного эмитента обыкновенные","US9314271084","17.08.2022"
"329","WBD","Warner Bros. Discovery, Inc.","Акции иностранного эмитента обыкновенные серии A","US9344231041","10.08.2022"
"330","WDC","Western Digital Corporation","Акции иностранного эмитента обыкновенные","US9581021055","10.08.2022"
"331","WELL","Welltower Inc.","Акции иностранного эмитента обыкновенные","US95040Q1040","17.08.2022"
"332","WFC","Wells Fargo & Company","Акции иностранного эмитента обыкновенные","US9497461015","10.08.2022"
"333","WM","Waste Management, Inc.","Акции иностранного эмитента обыкновенные","US94106L1098","17.08.2022"
"334","WMB","The Williams Companies, Inc.","Акции иностранного эмитента обыкновенные","US9694571004","10.08.2022"
"335","WMT","Walmart Inc.","Акции иностранного эмитента обыкновенные","US9311421039","10.08.2022"
"336","WRB","W. R. Berkley Corporation","Акции иностранного эмитента обыкновенные","US0844231029","17.08.2022"
"337","WU","The Western Union Company","Акции иностранного эмитента обыкновенные","US9598021098","17.08.2022"
"338","WY","Weyerhaeuser Company","Акции иностранного эмитента обыкновенные","US9621661043","17.08.2022"
"339","WYNN","Wynn Resorts, Limited","Акции иностранного эмитента обыкновенные","US9831341071","10.08.2022"
"340","XM","Qualtrics International Inc.","Акции иностранного эмитента обыкновенные класса A","US7476012015","17.08.2022"
"341","XOM","Exxon Mobil Corporation","Акции иностранного эмитента обыкновенные","US30231G1022","10.08.2022"
"342","XRAY","DENTSPLY SIRONA Inc.","Акции иностранного эмитента обыкновенные","US24906P1093","10.08.2022"
"343","XRX","Xerox Holdings Corporation","Акции иностранного эмитента обыкновенные","US98421M1062","10.08.2022"
"344","YUM","Yum! Brands, Inc.","Акции иностранного эмитента обыкновенные","US9884981013","17.08.2022"
"345","Z","Zillow Group, Inc.","Акции иностранного эмитента обыкновенные класса C","US98954M2008","10.08.2022"
"346","ZG","Zillow Group, Inc.","Акции иностранного эмитента обыкновенные класса A","US98954M1018","17.08.2022"
"347","ZIM","ZIM Integrated Shipping Services Ltd.","Акции иностранного эмитента обыкновенные","IL0065100930","10.08.2022"
"348","ZM","Zoom Video Communications, Inc.","Акции иностранного эмитента обыкновенные класса A","US98980L1017","10.08.2022"
"349","ZS","Zscaler, Inc.","Акции иностранного эмитента обыкновенные","US98980G1022","10.08.2022"
"350","ZTS","Zoetis Inc.","Акции иностранного эмитента обыкновенные","US98978V1035","17.08.2022"
